description,title,id,created_time,views
Wednesday Baby Bounce Online is running tomorrow and next Wednesday. Book y,,222125926335367,2021-03-30T13:30:31+0000,14
Have you recently had a baby or know someone who has? Join us and discover ,,235007658365418,2021-03-30T09:32:05+0000,122
EASTER OPENING TIMES. All Barnet Libraries will be closed on Friday 2 April,,486777379142276,2021-03-29T18:01:50+0000,63
Just a few days left on our campaign titles - download and listen now with ,,478737283166555,2021-03-29T14:02:20+0000,16
Join us for some Easter Holiday fun at our Families Stories & Rhymes sessio,,536565550643710,2021-03-29T12:30:32+0000,36
Magazines and comics have moved from RBdigital and are now available on our,,214117593803196,2021-03-29T12:15:09+0000,12
Have you discovered what your local library service has to offer children t,,1503935596610690,2021-03-28T08:55:59+0000,24
Join Becca to learn about our latest Lego Club Easter Challenge! #discovery,,799483390658449,2021-03-27T09:25:06+0000,184
Join us for an Easter Chick Craft activity.,,491063135357684,2021-03-26T15:59:23+0000,70
Our latest #LEGOchallenge is live tomorrow at 9am! Join Becca and find out ,,370448837467111,2021-03-26T15:30:42+0000,31
Have you recently had a baby or know someone who has? Join us at our New Pa,,275835340710692,2021-03-26T10:32:09+0000,94
Learn how the tiny seed grows into the most beautiful big yellow sunflower.,,878709546031605,2021-03-26T09:15:08+0000,16
Big Yellow Sunflower is a story & rhyme session for under fives. Learn how ,,2864586440445981,2021-03-25T10:15:07+0000,15
Booking is now open for our free online Family Stories and Rhymes event on ,,269126301485342,2021-03-24T13:02:21+0000,22
Our #Borrowbox campaign titles are available to download and listen to stra,,476060183584322,2021-03-22T15:02:39+0000,22
"Join us for Toddler Rhyme Online this morning at 10.15am. Rhymes, songs and",,874758156692999,2021-03-22T08:41:04+0000,11
"Have you discovered your  library? We have events, activities and competiti",,350858486203515,2021-03-16T19:55:05+0000,22
It's time to reveal our 4th LEGO club challenge! Check out the video to see,Lego challenge.MOV,153383083312467,2021-03-13T08:56:10+0000,448
In case you missed it on Monday - here's a chance to get your hands gooey a,,253317792947179,2021-03-10T14:30:34+0000,19
Did you catch our Space Rocket Craft #BSW21 earlier in the week? If not you,,303271341143046,2021-03-10T08:30:17+0000,10
Learn how to code music for the #microbit and make your own music jukebox! ,,2813543865563027,2021-03-10T08:00:57+0000,16
Coming Wednesday at 8am - learn how to code music for the #microbit and mak,,1187272528394193,2021-03-09T15:15:17+0000,10
"Don't miss Baby Bounce Online tomorrow at 1pm 
Rhymes, songs and a story fo",,4013412768711429,2021-03-09T12:25:05+0000,13
"Help your child discover the magic of stories! 
Join us for Stories & Rhyme",,1087581718413502,2021-03-09T10:30:19+0000,14
We have a great selection of campaign titles which you can borrow and liste,,254552652991681,2021-03-08T17:26:05+0000,9
We're celebrating British Science Week! This rocket craft activity is aimed,,261405805487046,2021-03-08T13:59:16+0000,27
Join us today for our British Science Week live event' Reach for the Stars',,148123250509452,2021-03-08T11:15:08+0000,13
Coming Wednesday at 8am - learn how to code music for the #microbit and mak,,227159815812502,2021-03-08T11:01:47+0000,11
On Wednesday - learn how to code music for the #microbit and make your own ,,2881868428724460,2021-03-07T11:00:41+0000,9
"Join us tomorrow at 2pm for Reach for the Stars, a British Science week eve",,3880666585329467,2021-03-07T07:30:09+0000,26
We have a great selection of campaign titles which you can borrow and liste,,142430337747108,2021-03-06T12:25:09+0000,18
Join us on Monday for a slimy craft activity with a scientific twist for #B,,1084770882026969,2021-03-06T11:00:48+0000,29
Join us on Monday for a slimy craft activity with a scientific twist for #B,,1479445332249389,2021-03-05T15:05:14+0000,36
It's British Science Week & we'll be celebrating with a FREE live event for,,236688941470959,2021-03-05T14:02:07+0000,85
Join us for our special British Science Week 2021 event 'Reach for the Star,,793783611517892,2021-03-03T09:30:20+0000,27
We have a great selection of campaign titles which you can borrow and liste,,427452018514426,2021-03-03T08:25:03+0000,16
"Join us for Stories and Rhymes Online tomorrow at 2pm. 
More info and booki",,1139285683198814,2021-03-02T09:00:59+0000,18
We have a great selection of campaign titles which you can borrow and liste,,184973976388530,2021-03-01T16:58:17+0000,17
Last call for new mums and dads! We still have a couple of places available,,1821307928024080,2021-03-01T16:03:57+0000,74
"Anna, the redoubtable owner of Hotel Flamingo, has a bit of a climate probl",,189616539630023,2021-03-01T12:57:29+0000,16
And did you know that a polar bear's fur is actually see-through like glass,,2807647839488598,2021-02-27T11:05:04+0000,58
Lego club challenge number 3 is go! Watch the video to find out more  and s,,128849849074031,2021-02-27T08:55:29+0000,155
"New eBooks added to Overdrive/Libby in time for the weekend, everyone! Join",,474106950382585,2021-02-26T20:30:24+0000,24
